N,schedule,chunk_size,threads,reps,loop1_time_s,loop2_time_s
256,static,1,16,100,0.650859,26.151567
256,static,16,16,100,0.434,11.612118
256,static,64,16,100,0.454042,17.704288
256,dynamic,1,16,100,0.513389,28.985212
256,dynamic,16,16,100,0.236884,12.040843
256,dynamic,64,16,100,0.266469,17.253893
256,guided,1,16,100,0.515451,16.527594
256,guided,16,16,100,0.263248,16.678976
256,guided,64,16,100,0.983608,16.705313
512,static,1,16,100,0.575177,27.009546
512,static,16,16,100,0.806926,11.90499
512,static,64,16,100,0.519414,16.739204
512,dynamic,1,16,100,0.648419,28.789042
512,dynamic,16,16,100,0.453616,11.70085
512,dynamic,64,16,100,0.424265,17.542524
512,guided,1,16,100,0.363042,16.059664
512,guided,16,16,100,0.304107,16.135609
512,guided,64,16,100,0.426926,16.493761
729,static,1,16,100,1.170312,25.696421
729,static,16,16,100,0.628669,11.64642
729,static,64,16,100,0.591994,16.90416
729,dynamic,1,16,100,0.354138,27.045305
729,dynamic,16,16,100,0.30509,12.264827
729,dynamic,64,16,100,0.304794,16.820137
729,guided,1,16,100,0.363266,16.406357
729,guided,16,16,100,0.466126,16.537733
729,guided,64,16,100,0.414167,18.608606
1024,static,1,16,100,0.721169,27.978062
1024,static,16,16,100,1.317524,11.387009
1024,static,64,16,100,0.633531,16.609459
1024,dynamic,1,16,100,0.253627,27.382286
1024,dynamic,16,16,100,0.290822,12.169321
1024,dynamic,64,16,100,0.458491,17.099482
1024,guided,1,16,100,0.393926,16.912794
1024,guided,16,16,100,0.762196,16.941364
1024,guided,64,16,100,0.431541,18.802156
1440,static,1,16,100,0.370017,27.420465
1440,static,16,16,100,0.638949,11.798481
1440,static,64,16,100,0.766383,18.927629
1440,dynamic,1,16,100,0.26053,26.538645
1440,dynamic,16,16,100,0.480853,12.002811
1440,dynamic,64,16,100,0.365535,17.162264
1440,guided,1,16,100,0.7585,17.217173
1440,guided,16,16,100,0.919424,17.024324
1440,guided,64,16,100,0.613883,16.664494
